job_id,experiment,run_id,run_name,state,start_time,end_time,val_nmad,val_loss,catastrophic_outliers,val_z_bias,val_rmse,notes
21346376,exp_000_baseline,wijvni9f,super-disco-12,completed,TBD,TBD,0.0303,0.349,23.24,-0.0023,0.366,Baseline completed. Best NMAD=0.0303 at ep235. Stopped early ep244/400.
21346908,exp_001,—,—,failed,2026-06-12T19:58,2026-06-12T19:58,—,—,—,—,—,FAILED: d_model 512→768 broke checkpoint loading (autoencoder frozen)
21346914,exp_002,—,—,failed,2026-06-12T20:00,2026-06-12T20:00,—,—,—,—,—,FAILED: encoder/decoder 3→6 broke checkpoint loading (autoencoder frozen)
21349229,exp_003,q14jh32m,quiet-shadow-15,failed,2026-06-15T20:00,—,—,—,—,—,—,mlp_dim 512→768. FAILED — pretrained head weights shape-mismatch (512→768). Strict=False silently dropped all head weights. CUDA error in 28s.
21349236,exp_004,gx70j2j8,stoic-spaceship-16,completed,2026-06-15T13:49,2026-06-15T15:24,0.0335,0.365,23.42,-0.0023,0.382,lr 1e-4→5e-5. Completed. NMAD 0.0335 WORSE than baseline 0.0303.
21349374,exp_005,95vn9fc6,effortless-terrain-17,completed,2026-06-15T20:00,2026-06-15T23:00,0.0279,0.366,23.18,0.0011,0.425,num_mlp_blocks 5→7, lr 1e-4. New best NMAD 0.0279.
21349460,exp_006,oy9u11a1,apricot-oath-18,completed,2026-06-15T20:00,2026-06-15T23:00,0.0332,0.361,23.98,0.0003,0.387,weight_decay 5e-5->1e-4. NMAD 0.0332 WORSE than best 0.0279. Trained 193 epochs.
21349504,exp_007,n84weil0,distinctive-bee-19,completed,2026-06-15T23:00,2026-06-16T02:30,0.02565,0.358,23.61,-0.00231,0.389,num_mlp_blocks 7→10, weight_decay 1e-4→5e-5 (revert reg). NEW BEST NMAD 0.02565 (8% over exp_005). Ep257 early stop.
21350035,exp_008,ld28scut,drawn-sun-20,completed,2026-06-15T19:51,2026-06-16T05:00,0.02568,0.348,22.82,-0.00045,0.375,num_mlp_blocks 10→12. NMAD 0.02568 plateaued (tied with exp_007). Cat out improved 22.82% new best. Ep219 early stop.
21351039,exp_008_v2,—,—,submitted,2026-06-15T21:00,—,—,—,—,—,—,num_mlp_blocks=12+DESI combined autoencoder weights. Pending wait for analyst.
21351040,exp_009,—,proud-sea-21,completed,2026-06-16T14:12,2026-06-17T00:00,—,—,—,—,—,lr 1e-4->2e-4, num_mlp_blocks=12. Completed. Run proud-sea-21 finished successfully.
21352771,exp_010,nsomfkte,noble-frog-23,failed,2026-06-17T00:00,2026-06-17T00:00,—,—,—,—,—,FAILED: mlp_dim 512→1024 head weight shape mismatch (same as exp_003). 60 tensor mismatches. CUDA RuntimeError in 21s at model init.
15|,exp_011,—,—,pending,—,—,—,—,—,—,mlp_dim=1024,num_mlp_blocks=12,pretrained_redshift="" (train head from scratch), DESI autoencoder
