job_id,experiment,run_id,run_name,state,start_time,end_time,val_nmad,val_loss,catastrophic_outliers,val_z_bias,val_rmse,notes
21346376,exp_000_baseline,wijvni9f,super-disco-12,completed,TBD,TBD,0.0303,0.349,23.24,-0.0023,0.366,Baseline completed. Best NMAD=0.0303 at ep235. Stopped early ep244/400.
21346908,exp_001,—,—,failed,2026-06-12T19:58,2026-06-12T19:58,—,—,—,—,—,FAILED: d_model 512→768 broke checkpoint loading (autoencoder frozen)
21346914,exp_002,—,—,failed,2026-06-12T20:00,2026-06-12T20:00,—,—,—,—,—,FAILED: encoder/decoder 3→6 broke checkpoint loading (autoencoder frozen)
21349229,exp_003,q14jh32m,quiet-shadow-15,failed,2026-06-15T20:00,—,—,—,—,—,—,mlp_dim 512→768. FAILED — pretrained head weights shape-mismatch (512→768). Strict=False silently dropped all head weights. CUDA error in 28s.
21349236,exp_004,gx70j2j8,stoic-spaceship-16,completed,2026-06-15T13:49,2026-06-15T15:24,0.0335,0.365,23.42,-0.0023,0.382,lr 1e-4→5e-5. Completed. NMAD 0.0335 WORSE than baseline 0.0303.
21349374,exp_005,95vn9fc6,effortless-terrain-17,completed,2026-06-15T20:00,2026-06-15T23:00,0.0279,0.366,23.18,0.0011,0.425,num_mlp_blocks 5→7, lr 1e-4. New best NMAD 0.0279.
21349460,exp_006,oy9u11a1,apricot-oath-18,completed,2026-06-15T20:00,2026-06-15T23:00,0.0332,0.361,23.98,0.0003,0.387,weight_decay 5e-5->1e-4. NMAD 0.0332 WORSE than best 0.0279. Trained 193 epochs.
21349504,exp_007,n84weil0,distinctive-bee-19,completed,2026-06-15T23:00,2026-06-16T02:30,0.02565,0.358,23.61,-0.00231,0.389,num_mlp_blocks 7→10, weight_decay 1e-4→5e-5 (revert reg). NEW BEST NMAD 0.02565 (8% over exp_005). Ep257 early stop.
21350035,exp_008,ld28scut,drawn-sun-20,completed,2026-06-15T19:51,2026-06-16T05:00,0.02568,0.358,23.25,-0.00045,0.375,num_mlp_blocks=12. Completed. NMAD 0.02568 plateaued. Catastrophic outliers 23.25%.
21351039,exp_008_v2,2cnzeyqt,rural-bush-21,completed,2026-06-15T21:30,2026-06-17T08:38,0.02295,0.358,23.31,-0.00369,0.393,Completed. NEW BEST NMAD 0.02295 (10.5% over exp_007). Test NMAD 0.02726. Ep242/400.
21351040,exp_009,2689fu6f,proud-sea-21,completed,2026-06-16T14:12,2026-06-17T08:16,0.02611,0.360,23.07,—,0.360,lr 1e-4→2e-4, 12 blocks, DESI autoencoder. Completed. NMAD 0.02611. Test NMAD 0.03283. Ep154/400.
21352771,exp_010,nsomfkte,noble-frog-23,failed,2026-06-17T14:54,2026-06-17T10:54,—,—,—,—,—,FAILED: mlp_dim 512→1024 head weight shape mismatch (identical to exp_003). Died in 21s (model init), zero metrics logged.
21352840,exp_011,ee7l4hgl,peach-pine-24,failed,2026-06-17T14:00,—,—,—,—,—,—,mlp_dim=1024,num_mlp_blocks=12,pretrained_redshift="" (train head from scratch), DESI autoencoder
21353301,exp_012,2e9b7ic2,sparkling-wood-25,failed,2026-06-17T19:06,2026-06-17T19:07,—,—,—,—,—,FAILED: mlp_dim 1024 head weight shape mismatch (identical to exp_003). Residual connection dim mismatch. Code fixed for exp_013.
21353794,exp_013,fpw7o9pz,ruby-surf-26,completed,2026-06-17T21:25,2026-06-18T10:00,0.01382,0.377,24.85,,0.399,COMPLETED. NEW BEST NMAD 0.01382! Width hypothesis confirmed. mlp_dim=1024, blocks=12, DESI autoencoder, residual fix. Severe overfitting: train_loss=0.040 vs val_loss=0.377 (9.7x gap).
21354881,exp_014,m03w5sgt,comic-sea-27,completed,2026-06-18T14:35,2026-06-18T18:30,0.01640,0.384,23.78,,0.429,COMPLETED. dropout_rate=0.1. NMAD 0.01640 (worse than 0.01382 best). Overfitting persists at 9.6x. Ep295/400.
21355063,exp_015,bi2vfuwc,fragrant-blaze-28,completed,2026-06-18T11:00,2026-06-18T13:54,0.02156,0.3669,23.37,—,0.3875,COMPLETED. dropout_rate=0.2. NMAD 0.02156 (worse than 0.01382 best). Monotonic degradation: 0.0→0.1→0.2 all worsened. Ep200/400.
